listing_id,creation_date,loan_paid_date,first_installement_date,loan_paid_status,confirm_status,username,listing_title,listing_category,credit_score,job_loss_insurance,loan_amount,loan_period,effective_rate,preferred_rate,amount_outstanding,monthly_installment,principal_repaid,interest_paid,arrears,loan_status,type,gender,post_town,age,education,employment_status,occupation,employ_how_long,years_working_in_total,dependants,marital_status,credit_check_date,monthly_income,monthly_expenses,available_income,dti,outstanding_debts,last_debt_date
32692,2019-09-04,2019-09-05,2019-10-05,1,1,Raimonda98,"""32692-Automobiliui",Car,D,0,3305,36,0.26,0.26,3305.0,150.63,0.0,0.0,0.0,ok,FR,Female,Prienų r.,21,Vocational education,Employed,Rušiuotojas / Sorting operator,6,3,0,Single,2019-09-04 00:00:00,503,0,503,0.2995,0,-
32691,2019-09-04,2019-09-05,2019-10-05,1,1,bkar,"""32691-Vartojimui",Other Purposes,D,0,1900,36,0.26,0.26,1900.0,86.59,0.0,0.0,0.0,ok,FR,Male,Joniškio r.,25,Vocational education,Employed,Mechanikas / Mechanic,3,4,0,Single,2019-09-04 00:00:00,345,17,328,0.3003,0,2018-01-04 00:00:00
32687,2019-09-04,2019-09-05,2019-10-05,1,1,vl771013,"""32687-Vartojimui",Other Purposes,C,0,665,12,0.19,0.19,665.0,63.79,0.0,0.0,0.0,ok,FR,Female,Vilnius,41,Graduate,Employed,Vadybininkė / Manager,60,6,1,Married,2019-09-04 00:00:00,1060,197,863,0.246,0,2016-11-30 00:00:00
32674,2019-09-04,2019-09-04,2019-10-04,1,1,karturas,"""32674-Vartojimui",Other Purposes,B,0,1040,12,0.13,0.13,1040.0,96.26,0.0,0.0,0.0,ok,FR,Male,Vilnius,26,High school,Employed,Vairuotojas / Driver,36,7,1,Married,2019-09-04 00:00:00,484,0,484,0.1989,0,-
32666,2019-09-04,2019-09-05,2019-10-05,1,1,RasaMeska,"""32666-Vartojimui",Other Purposes,B,0,2830,24,0.13,0.13,2830.0,143.81,0.0,0.0,0.0,ok,FR,Female,Panevėžys,33,Post graduate,Employed,Socialinė darbuotoja / Social worker,15,3,2,Married,2019-09-04 00:00:00,849,21,828,0.1941,0,-
32638,2019-09-03,2019-09-04,2019-10-04,1,1,Nina61,"""32638-Vartojimui",Other Purposes,C,0,2750,36,0.21,0.21,2750.0,114.94,0.0,0.0,0.0,ok,FR,Female,Skuodo r.,57,High school,Employed,Pagalbinė darbuotoja / Assistant worker,24,19,0,Divorced,2019-09-03 00:00:00,581,26,555,0.2426,0,-
32634,2019-09-03,2019-09-03,2019-10-03,1,1,Aivaras900,"""32634-Automobiliui",Car,B,0,1965,12,0.13,0.13,1965.0,181.88,0.0,0.0,0.0,ok,FR,Male,Vilnius,29,Post graduate,Self-Employed,Statybininkas / Construction worker,36,9,0,Single,2019-09-03 00:00:00,700,0,700,0.2598,0,2016-07-18 00:00:00
32632,2019-09-03,2019-09-05,2019-10-05,1,1,Lina731,"""32632-Vartojimui",Other Purposes,B,0,1095,24,0.13,0.13,1095.0,55.65,0.0,0.0,0.0,ok,FR,Female,Anykščių r.,45,High school,Employed,Pagalbinė darbuotoja / Assistant worker,15,10,3,Married,2019-09-03 00:00:00,395,11,384,0.1687,0,2017-03-17 00:00:00
32628,2019-09-03,2019-09-05,2019-10-03,1,1,Kristina19,"""32628-Vartojimui",Other Purposes,D,0,1105,24,0.25,0.25,1105.0,64.43,0.0,0.0,0.0,ok,FR,Female,Kaunas,42,Vocational education,Employed,Pardavėja / Waitress,6,20,0,Married,2019-09-03 00:00:00,507,20,487,0.1665,0,2017-01-03 00:00:00
32618,2019-09-03,2019-09-04,2019-10-04,1,1,melitute22,"""Automobiliui",Car,C,0,2755,58,0.22,0.22,2755.0,90.15,0.0,0.0,0.0,ok,FR,Female,Biržų r.,32,Vocational education,Employed,Pagalbinė darbuotoja / Assistant worker,24,9,3,Married,2019-09-03 00:00:00,428,77,351,0.3905,0,2017-05-03 00:00:00
